WKT,uniqueid,start_nid,end_nid,oneway,osmid,length,type,lanes,maxspeed,capacity,fft
"LINESTRING (-122.2214062 37.8531902,-122.2213795 37.8532026,-122.2213534 37.8532111,-122.2213257 37.8532172,-122.221298 37.8532196,-122.2212707 37.8532167,-122.2212473 37.8532093,-122.2212261 37.8531974,-122.2212095 37.8531856,-122.2211936 37.8531665,-122.2211829 37.8531434,-122.2211784 37.8531219,-122.2211771 37.8530987,-122.2211774 37.8530602)","2193","792","956","1","24501282",33.61,motorway_link,"1","55","900",1.36697369818182
"LINESTRING (-122.2214062 37.8531902,-122.2213795 37.8532102,-122.2213542 37.8532266,-122.2213258 37.8532403,-122.2212961 37.8532507,-122.2212646 37.8532566,-122.2212331 37.8532586,-122.2212006 37.8532579,-122.2211703 37.8532539,-122.2211405 37.8532472,-122.2211078 37.8532372)","2194","792","1146","1","394139364",28.847,motorway_link,"1","55","900",1.17325469418182
"LINESTRING (-122.2203884 37.8540594,-122.2198204 37.8542135,-122.2196959 37.8542441,-122.2195697 37.8542726)","2195","793","1145","1","123467859",75.702,motorway,"2","55","3600",3.078924216
"LINESTRING (-122.2203884 37.8540594,-122.220247 37.8541286,-122.2201119 37.8541883,-122.2199688 37.8542437,-122.2198181 37.8542941,-122.2196731 37.8543338,-122.2195194 37.8543698,-122.2193646 37.8544027,-122.2192087 37.854431,-122.2191337 37.8544438,-122.2190547 37.854456,-122.2189784 37.8544659,-122.2188959 37.8544755,-122.2179408 37.8545785,-122.2177808 37.8545995,-122.2177067 37.8546115,-122.217628 37.8546257,-122.2174829 37.8546555,-122.2171353 37.8547438,-122.2168223 37.8548406,-122.2165155 37.8549581,-122.2162011 37.855103,-122.2159039 37.8552561,-122.2155547 37.8554604,-122.2152149 37.8556959,-122.2148144 37.8560102,-122.214396 37.8563838,-122.210974 37.8595654,-122.210653 37.8598833,-122.2104102 37.8601327,-122.2101785 37.8603858,-122.209991 37.860602,-122.2098124 37.8608288,-122.2096724 37.8610262,-122.2095597 37.8612206,-122.2094642 37.8614069,-122.2093947 37.8615721,-122.2093453 37.8617371,-122.209327 37.8618007,-122.2093094 37.8618671,-122.2092942 37.8619285,-122.2092821 37.8619876,-122.2092723 37.8620442,-122.2092616 37.8621138,-122.2092539 37.8621733,-122.2092462 37.8622457,-122.2092393 37.8623181,-122.2091711 37.8629369,-122.2091169 37.8633886,-122.2090841 37.863581,-122.2090588 37.8636983,-122.2090195 37.8638229,-122.2089722 37.863944,-122.2088092 37.864275)","2196","793","787","1","25006976",1638.328,motorway,"2","30","3600",122.161381210667
"LINESTRING (-122.2481694 37.8457703,-122.2478715 37.8458562,-122.2476184 37.8459329,-122.2473677 37.8460201,-122.2472114 37.8460827,-122.2468526 37.8462342,-122.2463905 37.8464394,-122.2462168 37.8465214,-122.2460215 37.8465882,-122.2457965 37.8466442,-122.2456378 37.8466691,-122.2454755 37.8466832,-122.2453679 37.8466966,-122.2452446 37.8467166)","2282","835","836","1","10625510",279.704,motorway_link,"1","30","900",20.8560355253333
"LINESTRING (-122.2481694 37.8457703,-122.2480246 37.8458342,-122.2478819 37.8458982,-122.2477372 37.8459642,-122.2475945 37.8460306,-122.2474532 37.8460982,-122.2472757 37.8461848,-122.2471541 37.8462442,-122.247041 37.8462998,-122.2469261 37.8463571,-122.2467538 37.846445,-122.2466164 37.846517,-122.2464791 37.8465911,-122.246342 37.8466651,-122.2462066 37.8467403,-122.2460718 37.8468156,-122.2459369 37.8468907,-122.2458012 37.8469669,-122.2446271 37.8476237,-122.2434187 37.8483026,-122.2425646 37.8487835,-122.2424275 37.8488599,-122.2422912 37.8489354,-122.2421561 37.8490095,-122.2420191 37.8490831,-122.2418813 37.8491547,-122.2417413 37.8492243,-122.2416017 37.8492934,-122.2414612 37.8493609,-122.241319 37.849428,-122.241176 37.8494929,-122.2410326 37.8495546,-122.2408849 37.849612,-122.240734 37.8496634,-122.2405807 37.8497087,-122.2404245 37.8497497,-122.2402657 37.8497853,-122.2401335 37.8498099,-122.2399879 37.849832,-122.2398466 37.8498511,-122.2397152 37.8498657,-122.2396199 37.8498731,-122.2394811 37.8498804,-122.2393167 37.8498844,-122.239153 37.8498819,-122.2389883 37.8498753,-122.2388249 37.8498619,-122.2386684 37.8498448,-122.2385052 37.849821,-122.2383463 37.8497921,-122.238186 37.8497573,-122.2380195 37.8497149,-122.2378734 37.8496719)","2283","835","955","1","25006981",1041.45,motorway,"4","65","7200",35.8409409692308
"LINESTRING (-122.2420641 37.8493944,-122.2422066 37.8493272,-122.2423485 37.8492575,-122.2424878 37.8491866,-122.2426264 37.8491128,-122.2427632 37.8490374,-122.2429561 37.84893,-122.2445741 37.8480231,-122.245744 37.8473649,-122.2458816 37.8472883,-122.2460175 37.8472126,-122.2461528 37.8471384,-122.2462905 37.8470645,-122.2464287 37.8469909,-122.2465662 37.8469186,-122.2467058 37.8468478,-122.2468457 37.8467776,-122.2469866 37.8467085,-122.2470927 37.8466583,-122.247228 37.8465955,-122.2473655 37.8465308,-122.2474769 37.8464789,-122.2475603 37.8464409,-122.2477033 37.8463769,-122.2478478 37.8463138,-122.2479943 37.8462514,-122.2481419 37.8461897,-122.2482892 37.8461299,-122.248437 37.84607,-122.2485851 37.8460112,-122.248734 37.8459537)","2299","842","847","1","25006994",700.45,motorway,"4","65","7200",24.1056095846154
"LINESTRING (-122.2420641 37.8493944,-122.2428354 37.8490903,-122.2429375 37.8490483,-122.2437935 37.848645,-122.2440084 37.848548,-122.244199 37.8484595,-122.2443976 37.8483731,-122.2445898 37.8483054,-122.2450547 37.8481576,-122.2452243 37.8480991,-122.2453765 37.8480348,-122.2455312 37.8479621,-122.2462088 37.847611,-122.246779 37.8473133,-122.2470148 37.847223)","2300","842","843","1","10626953",498.271,motorway_link,"1","30","900",37.1534110246667
"LINESTRING (-122.24426 37.8485064,-122.244485 37.8484147,-122.2446545 37.8483495,-122.2448232 37.8482707,-122.2449951 37.8481744,-122.2451731 37.8480687,-122.2461534 37.847381,-122.2462666 37.8473019,-122.2463859 37.8472187,-122.246525 37.8471261,-122.2466712 37.847031,-122.2467937 37.8469547,-122.2469155 37.8468838,-122.2470341 37.846818,-122.2471507 37.846754,-122.2472846 37.8466862,-122.2474177 37.8466207,-122.2475319 37.8465657,-122.2477628 37.8464521,-122.248734 37.8459537)","2308","846","847","1","25007004",486.305,motorway_link,"1","30","900",36.2611702233333
"LINESTRING (-122.248734 37.8459537,-122.250261 37.845359,-122.2540125 37.8438978,-122.2541702 37.8438369,-122.2543097 37.8437832,-122.2544567 37.8437278,-122.254621 37.8436668)","2310","847","833","1","25007008",576.091,motorway,"4","65","7200",19.8258615621538
