WKT,uniqueid,start_nid,end_nid,oneway,osmid,length,type,lanes,maxspeed,capacity,fft
"LINESTRING (-122.2582842 37.8465846,-122.2583364 37.8468473,-122.2595529 37.8466891)","910","631","328","0","6366297",137.822,residential,"1","30","900",10.2766514893333
"LINESTRING (-122.2605977 37.8400769,-122.261063 37.840115)","911","828","329","0","6353959",41.079,residential,"1","30","900",3.063041942
"LINESTRING (-122.2605977 37.8400769,-122.2604984 37.8407399,-122.260489 37.8407886,-122.2604622 37.8408299,-122.2604354 37.8408564,-122.2603925 37.8408797,-122.2603415 37.8408945,-122.2602865 37.8408977,-122.2602315 37.8408892,-122.2601792 37.8408659,-122.2594925 37.8405085)","912","330","329","0","250649341",185.244,residential,"1","30","900",13.812657112
"LINESTRING (-122.2594925 37.8405085,-122.2594446 37.8405674,-122.2592752 37.8407776,-122.2591124 37.8409804,-122.2590644 37.8410402)","913","38","330","0","57717341",70.062,secondary,"3","25","1800",6.2689796112
"LINESTRING (-122.2594925 37.8405085,-122.2601792 37.8408659,-122.2602315 37.8408892,-122.2602865 37.8408977,-122.2603415 37.8408945,-122.2603925 37.8408797,-122.2604354 37.8408564,-122.2604622 37.8408299,-122.260489 37.8407886,-122.2604984 37.8407399,-122.2605977 37.8400769)","914","329","330","0","250649341",185.244,residential,"1","30","900",13.812657112
"LINESTRING (-122.241824 37.8406732,-122.2418288 37.8407931,-122.2418396 37.8409121,-122.2418611 37.8410815,-122.2418893 37.8411758,-122.242183 37.8418048)","915","332","331","0","6341100",130.855,residential,"1","30","900",9.75715945666667
"LINESTRING (-122.241824 37.8406732,-122.2417082 37.8406674,-122.2415146 37.8406847,-122.2414057 37.8407154,-122.2412809 37.8407764,-122.2408329 37.8411265,-122.2406934 37.8412134,-122.2404976 37.841296,-122.2403395 37.8413404,-122.2400544 37.841405)","916","617","331","0","6362825",181.561,residential,"1","30","900",13.5380354446667
"LINESTRING (-122.242183 37.8418048,-122.2423694 37.8421237,-122.2424646 37.842309,-122.2425036 37.8424099,-122.2425276 37.8425744,-122.2425182 37.8426489,-122.2424968 37.8427252,-122.2423922 37.8428279,-122.2421977 37.8429434,-122.2420555 37.8430048)","917","140","332","0","6341100",158.706,residential,"1","30","900",11.833859988
"LINESTRING (-122.242183 37.8418048,-122.2418893 37.8411758,-122.2418611 37.8410815,-122.2418396 37.8409121,-122.2418288 37.8407931,-122.241824 37.8406732)","918","331","332","0","6341100",130.855,residential,"1","30","900",9.75715945666667
"LINESTRING (-122.242183 37.8418048,-122.2420328 37.8417986,-122.2419107 37.841771,-122.2416975 37.8417339,-122.2415315 37.8417268,-122.241337 37.8417321,-122.2411283 37.8417634,-122.2409155 37.8418185,-122.2408089 37.841827,-122.2406879 37.841807,-122.2405533 37.8417486,-122.2400544 37.841405)","919","617","332","0","6384106",205.415,residential,"1","30","900",15.3167010033333
"LINESTRING (-122.2418289 37.8434221,-122.2417188 37.8437392)","920","334","333","0","6341100",36.561,residential,"1","30","900",2.726158778
"LINESTRING (-122.2418289 37.8434221,-122.2418665 37.8433395,-122.2419462 37.8431299,-122.2419752 37.8430683,-122.2420555 37.8430048)","921","140","333","0","6341100",51.382,residential,"1","30","900",3.83128170266667
"LINESTRING (-122.2418289 37.8434221,-122.2415867 37.8433004,-122.241378 37.8432204,-122.2412332 37.8431802,-122.2410172 37.8431844,-122.2407343 37.8431992)","922","566","333","0","1000091340",102.926,residential,"1","30","900",7.67464288133333
"LINESTRING (-122.2417188 37.8437392,-122.2418289 37.8434221)","923","333","334","0","6341100",36.561,residential,"1","30","900",2.726158778
"LINESTRING (-122.2417188 37.8437392,-122.2414949 37.8437965,-122.2411845 37.8439019,-122.2410888 37.8439242,-122.2409973 37.8439351,-122.2408805 37.8439468,-122.2403686 37.8440092,-122.2398566 37.8440623,-122.2396715 37.8440835)","924","597","334","0","1000074514",184.81,residential,"1","30","900",13.7802960466667
"LINESTRING (-122.2417188 37.8437392,-122.2420593 37.8436987,-122.2422693 37.8436456,-122.2426213 37.8435189)","925","395","334","0","1000074514",83.566,residential,"1","30","900",6.23107093466667
"LINESTRING (-122.2656459 37.8660376,-122.2655664 37.8660524,-122.2655458 37.866055,-122.2650099 37.8661242,-122.2645868 37.8661788,-122.2645455 37.8661841)","926","336","335","0","27877606",97.976,residential,"2","25","1800",8.7666573376
"LINESTRING (-122.2656459 37.8660376,-122.2656323 37.8659749,-122.2656136 37.865878,-122.265478 37.8652197,-122.2654632 37.8651476)","927","335","202","1","1112638840",100.255,residential,"1","25","900",8.970576788
"LINESTRING (-122.2645455 37.8661841,-122.2640504 37.866248)","928","1468","336","0","27877606",44.038,residential,"2","25","1800",3.9404145488
"LINESTRING (-122.2645455 37.8661841,-122.264531 37.8661134,-122.2645286 37.8661017,-122.2643819 37.8653796,-122.2643783 37.865362,-122.2643641 37.8652919)","929","203","336","0","6371277",100.478,residential,"1","25","900",8.9905302928
"LINESTRING (-122.2645455 37.8661841,-122.2645868 37.8661788,-122.2650099 37.8661242,-122.2655458 37.866055,-122.2655664 37.8660524,-122.2656459 37.8660376)","930","335","336","0","27877606",97.976,residential,"2","25","1800",8.7666573376
"LINESTRING (-122.2633649 37.8663326,-122.2633783 37.8663965,-122.2634743 37.8668474,-122.2634826 37.8668864)","931","337","1601","1","761330890",62.44,residential,"2","25","1800",5.586981344
"LINESTRING (-122.2633649 37.8663326,-122.2634512 37.8663253,-122.2634779 37.8663219,-122.2640504 37.866248)","932","1468","337","0","27877606",60.916,residential,"2","25","1800",5.4506174816
"LINESTRING (-122.2633649 37.8663326,-122.2632862 37.8663393,-122.2632649 37.8663421,-122.2631616 37.8663556,-122.2630246 37.8663734)","933","1723","337","0","698994093",30.224,residential,"1","25","900",2.7043709824
"LINESTRING (-122.2610996 37.8666276,-122.261087 37.8665604,-122.2609275 37.8658236,-122.2609238 37.8658053,-122.2609095 37.865735)","934","338","205","1","196779223",100.648,secondary,"2","25","1200",9.0057414848
"LINESTRING (-122.2610996 37.8666276,-122.2610197 37.8666405,-122.2604472 37.8667144,-122.2601443 37.8667535,-122.2597425 37.8668054,-122.2596169 37.8668217,-122.2594397 37.8668445,-122.2593538 37.8668556,-122.2589104 37.8669128,-122.2588183 37.8669216)","935","339","338","0","698994093",202.921,residential,"1","25","900",18.1568840696
